Block,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,ResponseID,race,first_of_many,gender,age,zip_code,education,income,employment,attention2,pol_party,pol_party_other,freq_rec,nat_air_water,tech_sol,hum_abuse,balance_nat,ecol_crisis,nat_res,spaceship,hum_right,ecol_cat,lose_hab,plants_and_an,resp_harm,impact_dec,who_I_am,health_nat,think_wild,place_comm,citizen_care,family,identify,hum_elsewhere,feedback,lat,long,IPAddress,StartDate,EndDate,seen_turb,WP_US,wp_state,likely_cst_ec,attention_att
1,0,1,2,1,0,2,0,1,R_4VN278d6PHU55eB,Asian,Much more likely to support,Male,20,6010,Bechelor degree,"$15,000-$24,999",Student,"Yes, I am an MT worker ",Democratic party,,"Sometimes, 10-20 times/year",Strongly Agree,Strongly Agree,Strongly Agree,Stongly Disagree,Stongly Disagree,Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,"Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean",,42.28570557,-71.82920074,66.189.117.183,7/12/15 13:16,7/12/15 13:22,Yes,Very positive,Encouraged,More likely,None of the Above
1,2,2,2,2,2,2,2,2,R_50bTj8paHBwSlHD,White European,No effect on my attitude,Male,57,2149,Some college credit ,"$35,000-$49,999",Retired,"Yes, I am an MT worker ",Democratic party,,"Sometimes, 10-20 times/year",Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,,42.42810059,-71.05460358,50.176.13.193,7/15/15 12:58,7/15/15 13:12,Yes,Neutral,Tolerated,No difference,None of the Above
1,0,1,1,1,0,0,0,1,R_5ALEck3XOWIRRf7,White European,Much more likely to support,Female,54,2108,High school graduate,"$50,000-$74,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Rarely, 1-5 times/year",Agree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,"Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean",This is  somewhat like  how I think about the ocean,"Yes, this is  very much like  how I think about the ocean",I do not.,42.27929688,-71.24500275,24.91.54.94,7/20/15 11:12,7/20/15 11:20,No,Positive,Encouraged,No difference,None of the Above
1,0,1,0,1,1,1,0,1,R_5i0au36wPN2VtJ3,White European,More likely to support,Female,44,1020,High school graduate,"Less than $10,000",Student,"Yes, I am an MT worker ",Independent,,"Rarely, 1-5 times/year",Agree,Agree,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,This is  somewhat like  how I think about the ocean,"No, this is  very unlike  how I think about the ocean","No, this is  very unlike  how I think about the ocean",This is  somewhat like  how I think about the ocean,n/a,42.19259644,-72.45980072,75.134.241.240,7/11/15 9:58,7/11/15 10:07,Yes,Positive,Not sure,No difference,None of the Above
1,0,1,1,1,0,0,0,1,R_5ndSEURIN8H1bSJ,White European,No effect on my attitude,Male,25,1852,High school graduate,"Less than $10,000",Out of work,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,"Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","Yes, this is  like  how I think about the ocean",,42.65229797,-71.3506012,50.157.182.233,7/10/15 13:48,7/10/15 13:58,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,2,1,0,0,0,1,R_5nDu09Ohy36sjVr,White European,No effect on my attitude,Female,28,2806,Bechelor degree,"$35,000-$49,999",Self-employed,"Yes, I am an MT worker ",Independent,,"Rarely, 1-5 times/year",Strongly Agree,Agree,Strongly Agree,Disagree,Stongly Disagree,Neither Agree nor Disagree,Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,"Yes, this is  very much like  how I think about the ocean",This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,"Yes, this is  very much like  how I think about the ocean",,41.73950195,-71.32060242,68.9.41.161,7/14/15 12:46,7/14/15 13:00,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,1,1,0,0,0,1,R_5ut2tqTHns5SeQB,White European,More likely to support,Male,30,1440,Bechelor degree,"$35,000-$49,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Strongly Agree,Agree,Strongly Agree,Stongly Disagree,Stongly Disagree,Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Stongly Disagree,Agree,Agree,"Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean",This is  somewhat unlike  how I think about the ocean,,42.58990479,-71.98870087,73.143.61.152,7/27/15 7:33,7/27/15 7:39,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,2,2,1,1,1,0,1,R_5vwhuShCk2H3fw1,White European,More likely to support,Male,31,4401,Bechelor degree,"$25,000-$34,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Rarely, 1-5 times/year",Strongly Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,This is  somewhat like  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,This is  somewhat like  how I think about the ocean,,44.86349487,-68.84020233,24.39.61.70,7/27/15 10:15,7/27/15 10:22,No,Positive,Tolerated,No difference,None of the Above
1,0,1,1,1,0,0,0,1,R_6fHtAi514WJaiGx,White European,More likely to support,Female,22,1585,Some high school,"$50,000-$74,999",Self-employed,"Yes, I am an MT worker ",None,,"Rarely, 1-5 times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,"Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean",This is  somewhat like  how I think about the ocean,"Yes, this is  very much like  how I think about the ocean",,42.05439758,-71.75479889,24.241.16.160,7/23/15 8:03,7/23/15 8:10,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,1,0,0,1,0,0,R_6JRf3ZMco16QsSN,White European,More likely to support,Male,25,6450,Some college credit ,"$25,000-$34,999",Employed for wages,"Yes, I am an MT worker ",Republican party,,"Every now and then, 5-10 times/year",Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,This is  somewhat like  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,"No, this is  very unlike  how I think about the ocean",This is  somewhat like  how I think about the ocean,,41.83940125,-73.12550354,24.191.226.6,7/12/15 14:28,7/12/15 14:34,No,Very positive,Encouraged,No difference,None of the Above
1,2,2,2,2,2,2,2,2,R_6QIHyPaXoQzNeqF,White European,Much less likely to support,Female,35,4444,Bechelor degree,"$35,000-$49,999",Self-employed,"Yes, I am an MT worker ",Republican party,,"Every now and then, 5-10 times/year",Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Stongly Disagree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Stongly Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,"Yes, this is  very much like  how I think about the ocean",This is  somewhat like  how I think about the ocean,"Yes, this is  like  how I think about the ocean",This is  somewhat like  how I think about the ocean,"It's not just about the eyesore, or the added expense to my electricity bill each month, it's about not knowing the effect these will have long term on ocean life.  Denmark has smaller turbines up since 1991, that's not long enough to know the impacts, nor is it necessarily a good guide to use for turbines that will be much larger.   /  / I will always opt for the solution that does NOT mess with the ocean life at all.  That is why I consistently chose C.  We can find cleaner ways to use coal and natural gas.  Let's not decide to just waltz off and potentially destroy yet another part of this world.  We've done enough to the oceans...we need to just stop.   /  / Another alternative, that no one likes to talk about much is:  work on ways to stop using so many resources.  Thing is, no one wants to be in the slightest bit inconvenienced to do that.  Ride a bike?  Here's the list of excuses as to why that's not possible....is what you will get in response.  Of course the winter time is ridiculously cold and i wouldn't ride a bike in that weather, either, but what about the other six months of the year?   /  / We have to decide if we want to mess up our oceans, or realize that burning wood isn't as bad as its made out to be, when it comes to heating homes.  We need to stop using so much oil to heat homes in the winter time.  Natural gas is a better solution in that case, and if we set up to use natural gas to heat homes, then we can use natural gas for other things, making wind turbines unnecessary.   /  / If no one wants turbines in their backyard, (which is the whole reason they would be out in the ocean), then they don't belong in the ocean, either.  I swear people as a ""community"" are incredibly selfish.  Let's go ahead and possibly destroy the ocean just so we don't have to look at some ugly monstrosity, (except when we go to the beach....which is another topic in itself to have to see those hideous things out there when looking out on the ocean), and because we think it's better to destroy yet another environment when we've done a bang up job of trashing the land that we live on.  Enough of this.  NO turbines in the ocean.",37.63690186,-121.0171051,104.54.85.195,7/10/15 22:18,7/10/15 22:47,Yes,Neutral,Discouraged,Much less likely,None of the Above
1,0,1,1,1,0,0,0,1,R_6rQf5tvvvW00JQ9,White European,Much more likely to support,Male,20,2115,Some college credit ,"$75,000-$99,999",Student,"Yes, I am an MT worker ",Independent,,"Every now and then, 5-10 times/year",Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,"Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean",I enjoyed this because its about our future and we need to start these programs. This shouldn't be a survey this should be done. People fight against what needs to happen but sit idly by when the earth is destroyed by whats already happened. ,42.34509277,-71.09929657,69.43.65.114,7/10/15 14:04,7/10/15 14:13,Yes,Very positive,Encouraged,More likely,0
1,0,1,1,1,0,0,0,1,R_6sVd1MweY9SicqF,White European,No effect on my attitude,Female,26,3873,Bechelor degree,"$100,000-$124,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Stongly Disagree,Agree,Agree,Stongly Disagree,Agree,Stongly Disagree,Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,Stongly Disagree,Disagree,Agree,"Yes, this is  very much like  how I think about the ocean",This is  somewhat unlike  how I think about the ocean,"No, this is  very unlike  how I think about the ocean",This is  somewhat like  how I think about the ocean,,42.79499817,-71.2256012,73.149.212.130,7/10/15 18:57,7/10/15 19:05,Yes,Positive,Encouraged,No difference,None of the Above
1,0,1,2,1,0,2,0,1,R_6uvGyYGLHUGAAJv,American Indian or Alaska Native ,More likely to support,Male,24,4401,High school graduate,"$25,000-$34,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Sometimes, 10-20 times/year",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Strongly Agree,"Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean",thank you,44.86349487,-68.84020233,74.75.48.44,7/24/15 13:53,7/24/15 14:07,Yes,Very positive,Encouraged,More likely,None of the Above
1,1,0,1,1,1,2,0,1,R_7NwFnzITm6AMlcp,White European,No effect on my attitude,Female,32,2472,Bechelor degree,"$125,000-$149,000",Self-employed,"Yes, I am an MT worker ",Democratic party,,"Frequently, 20+ times/year",Strongly Agree,Agree,Strongly Agree,Stongly Disagree,Stongly Disagree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Agree,Stongly Disagree,Strongly Agree,Strongly Agree,"Yes, this is  very much like  how I think about the ocean","Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean", ,42.37219238,-71.17870331,98.216.191.229,7/14/15 8:27,7/14/15 8:38,Yes,Very positive,Encouraged,Less likely    ,None of the Above
1,1,1,0,1,1,0,0,0,R_8c8AuB5J2crS6Il,Black or African American,Less likely to support,Male,38,2169,Bechelor degree,"$150,000-$174,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,This is  somewhat like  how I think about the ocean,"Yes, this is  like  how I think about the ocean",This is  somewhat unlike  how I think about the ocean,This is  somewhat like  how I think about the ocean,no,19.98330688,73.80000305,14.195.70.110,7/21/15 6:09,7/21/15 6:18,No,Positive,Tolerated,More likely,None of the Above
1,0,0,2,2,0,2,2,1,R_8IghlH19w1pw4uh,White European,Much more likely to support,Male,23,1602,Some college credit ,"$35,000-$49,999",Self-employed,"Yes, I am an MT worker ",Democratic party,,"Every now and then, 5-10 times/year",Agree,Agree,Strongly Agree,Disagree,Stongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,"Yes, this is  like  how I think about the ocean",This is  somewhat like  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,"Yes, this is  like  how I think about the ocean",,42.28930664,-71.79440308,71.89.10.84,7/11/15 12:43,7/11/15 12:51,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,0,1,0,0,0,1,R_8v8fFiriLGfB3VP,White European,Much more likely to support,Female,51,2852,Bechelor degree,"Less than $10,000",Out of work,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Stongly Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Strongly Agree,Stongly Disagree,Agree,Agree,"Yes, this is  very much like  how I think about the ocean","Yes, this is  like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean",,41.58770752,-71.46230316,108.34.151.210,7/15/15 11:40,7/15/15 11:59,Yes,Very positive,Encouraged,No difference,None of the Above
1,1,0,0,0,1,1,1,0,R_8vuug6voyuSHjpP,White European,No effect on my attitude,Female,45,2818,Graduate degree or Professional degree ,"$175,000-$199,999",Self-employed,"Yes, I am an MT worker ",None,,"Frequently, 20+ times/year",Strongly Agree,Agree,Agree,Stongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Stongly Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,"Yes, this is  like  how I think about the ocean",This is  somewhat unlike  how I think about the ocean,,41.58770752,-71.46230316,173.69.40.77,7/12/15 16:51,7/12/15 16:58,Yes,Very positive,Encouraged,No difference,0
1,0,1,2,0,0,1,2,1,R_8xl0a3uNONomiup,White European,More likely to support,Female,24,6110,Bechelor degree,"$35,000-$49,999",Employed for wages,"Yes, I am an MT worker ",None,,"Every now and then, 5-10 times/year",Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,"Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean",This is  somewhat like  how I think about the ocean,it was ok,41.68559265,-72.73120117,72.200.162.60,7/14/15 11:19,7/14/15 11:25,No,Positive,Encouraged,No difference,None of the Above
1,0,1,1,1,0,0,0,1,R_9AXCsuRHBqoimvb,White European,No effect on my attitude,Male,30,2127,Bechelor degree,"$150,000-$174,999",Employed for wages,"Yes, I am an MT worker ",Republican party,,"Frequently, 20+ times/year",Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,This is  somewhat like  how I think about the ocean,"No, this is  very unlike  how I think about the ocean",This is  somewhat unlike  how I think about the ocean,This is  somewhat like  how I think about the ocean,,51.51420593,-0.093093872,90.207.135.241,7/11/15 0:34,7/11/15 0:43,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,1,1,0,1,0,1,R_9B2xLMemFgPDDal,White European,More likely to support,Female,33,4005,Graduate degree or Professional degree ,"$75,000-$99,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Every now and then, 5-10 times/year",Agree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Stongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,"Yes, this is  like  how I think about the ocean",,43.49609375,-70.48860168,184.153.128.207,7/14/15 15:19,7/14/15 15:27,Yes,Positive,Tolerated,No difference,0
1,0,1,1,1,0,0,0,1,R_9KxPOB0jpRJu8WF,White European,Much more likely to support,Female,26,6340,Bechelor degree,"$35,000-$49,999",A homemaker ,"Yes, I am an MT worker ",Independent,,"Frequently, 20+ times/year",Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Stongly Disagree,Disagree,Neither Agree nor Disagree,Stongly Disagree,Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Agree,Disagree,Agree,Agree,"Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean",This is  somewhat unlike  how I think about the ocean,"Yes, this is  like  how I think about the ocean",,41.35319519,-72.03859711,73.186.163.89,7/12/15 17:00,7/12/15 17:11,No,Very positive,Encouraged,More likely,None of the Above
1,1,1,0,1,0,1,0,1,R_9QU6RW8NLOyiESh,White European,No effect on my attitude,Female,33,2108,Bechelor degree,"$175,000-$199,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Every now and then, 5-10 times/year",Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,This is  somewhat like  how I think about the ocean,"Yes, this is  like  how I think about the ocean",This is  somewhat like  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,ns,18.9750061,72.82580566,49.202.168.100,7/13/15 0:36,7/13/15 0:41,Yes,Positive,Tolerated,More likely,None of the Above
1,0,0,2,2,0,2,2,1,R_9sQEsdc3WvjJmFD,,No effect on my attitude,Male,46,1060,Bechelor degree,"$35,000-$49,999",Self-employed,"Yes, I am an MT worker ",Independent,,"Rarely, 1-5 times/year",Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Stongly Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,This is  somewhat like  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,"No, this is  very unlike  how I think about the ocean",This is  somewhat like  how I think about the ocean,,42.32940674,-72.69390106,71.192.38.159,7/12/15 5:23,7/12/15 5:39,Yes,Neutral,Tolerated,No difference,None of the Above
1,0,1,1,1,0,0,0,1,R_9tN81z8VG7IYvo9,White European,More likely to support,Female,33,2906,Some college credit ,"$50,000-$74,999",A homemaker ,"Yes, I am an MT worker ",Democratic party,,"Frequently, 20+ times/year",Strongly Agree,Agree,Agree,Disagree,Stongly Disagree,Disagree,Strongly Agree,Stongly Disagree,Agree,Stongly Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Agree,Stongly Disagree,Agree,Agree,"Yes, this is  like  how I think about the ocean",This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,"Yes, this is  like  how I think about the ocean",,41.83790588,-71.39320374,72.92.229.154,7/24/15 18:13,7/24/15 18:20,Yes,Very positive,Tolerated,No difference,None of the Above
1,0,0,0,1,0,1,1,1,R_9XroaYNZJfDoqGN,White European,More likely to support,Female,33,1921,Bechelor degree,"$50,000-$74,999",A homemaker ,"Yes, I am an MT worker ",Independent,,"Rarely, 1-5 times/year",Strongly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,This is  somewhat like  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,This is  somewhat like  how I think about the ocean,Good survey!,42.06280518,-71.64369965,71.10.248.61,7/12/15 7:55,7/12/15 8:01,Yes,Positive,Tolerated,Less likely    ,None of the Above
1,1,1,1,1,1,1,1,1,R_9yk8jZZLJEkerT7,White European,No effect on my attitude,Female,36,4740,Associate degree,"$25,000-$34,999",A homemaker ,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,,Neither Agree nor Disagree,Neither Agree nor Disagree,This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,,46.68850708,-67.9910965,67.253.30.176,7/27/15 5:54,7/27/15 5:58,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,1,1,0,0,0,1,R_9YSE6ASb2YFyqNf,White European,No effect on my attitude,Female,61,1039,Graduate degree or Professional degree ,"$35,000-$49,999",Self-employed,"Yes, I am an MT worker ",Democratic party,,"Frequently, 20+ times/year",Strongly Agree,Strongly Agree,Strongly Agree,Stongly Disagree,Stongly Disagree,Agree,Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,"Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean",Thank you for the opportunity to offer my thoughts on this important topic.,42.29029846,-72.64040375,71.127.11.215,7/27/15 12:30,7/27/15 12:47,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,1,1,0,0,0,1,R_a2z0hWSnOiQQHKB,White European,Much more likely to support,Female,66,2347,Bechelor degree,"$25,000-$34,999",Retired,"Yes, I am an MT worker ",Democratic party,,"Every now and then, 5-10 times/year",Strongly Agree,Disagree,Strongly Agree,Stongly Disagree,Stongly Disagree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,"Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","Yes, this is  like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","I think that climate change is so far advanced that it will be impossible to stop but we have to do what we can-now, not later.",41.84350586,-70.96520233,108.20.24.245,7/23/15 17:17,7/23/15 17:28,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,1,0,0,0,1,1,R_ag6JHiFNXubHXDv,White European,More likely to support,Female,20,6512,Some college credit ,"$75,000-$99,999",Student,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Strongly Agree,Agree,Strongly Agree,Stongly Disagree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,"Yes, this is  like  how I think about the ocean",This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,"Yes, this is  like  how I think about the ocean",N/A,41.28329468,-72.86530304,32.209.135.30,7/26/15 19:53,7/26/15 20:07,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,1,1,0,0,0,1,R_aYv8mHBZlj0CRq5,White European,No effect on my attitude,Male,22,1906,Bechelor degree,"$35,000-$49,999",Student,"Yes, I am an MT worker ",None,,"Every now and then, 5-10 times/year",Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Stongly Disagree,Agree,Agree,This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,"Yes, this is  like  how I think about the ocean",,42.47329712,-70.94190216,76.23.210.99,7/10/15 22:47,7/10/15 22:59,Yes,Positive,Encouraged,No difference,None of the Above
1,0,1,2,1,1,2,2,1,R_b1KCSfREOEJfmtv,White European,No effect on my attitude,Male,35,6457,Bechelor degree,"$100,000-$124,999",Student,"Yes, I am an MT worker ",Democratic party,,"Every now and then, 5-10 times/year",Agree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,This is  somewhat like  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,"Yes, this is  like  how I think about the ocean",Just because a person has the right to do something does not mean its a good idea. / Negative environmental impacts on the land and air are much easier to deal with because administrative agencies in place compared to ocean environments. / Assuming away bird impacts along the New England coase will make me suspicious of any plan since these populations are still in recovery from over hunting during the settlement of the New England coast.,41.60609436,-72.66770172,32.208.228.252,7/24/15 7:48,7/24/15 8:06,Yes,Very positive,Tolerated,Less likely    ,None of the Above
