id,Block,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,ResponseID,race,first_of_many,gender,age,zip_code,education,income,employment,attention2,pol_party,pol_party_other,freq_rec,nat_air_water,tech_sol,hum_abuse,balance_nat,ecol_crisis,nat_res,spaceship,hum_right,ecol_cat,lose_hab,plants_and_an,resp_harm,impact_dec,who_I_am,health_nat,think_wild,place_comm,citizen_care,family,identify,hum_elsewhere,feedback,lat,long,IPAddress,StartDate,EndDate,seen_turb,WP_US,wp_state,likely_cst_ec,attention_att
87,1,0,1,1,1,0,2,0,1,R_3jIaGS3rqT5KQ29,White European,Much more likely to support,Female,41,1462,Bechelor degree,"$175,000-$199,999",Self-employed,"Yes, I am an MT worker ",Independent,,"Frequently, 20+ times/year",Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,42.43930054,-71.77690125,24.91.253.146,7/27/15 4:19,7/27/15 4:27,Yes,Very positive,Encouraged,Much more likely,0
88,4,0,1,0,1,0,1,1,1,R_3JiBpZ5qfHDbJtz,White European,Much more likely to support,Male,34,2886,Graduate degree or Professional degree ,"$50,000-$74,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Sometimes, 10-20 times/year",Strongly Agree,Agree,Agree,Stongly Disagree,Stongly Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Strongly Agree,Stongly Disagree,Agree,Strongly Agree,Stongly Disagree,Agree,Disagree,Strongly Agree,Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,41.69700623,-71.52539825,100.10.68.151,7/11/15 8:33,7/11/15 8:44,Yes,Very positive,Encouraged,More likely,None of the Above
89,2,2,2,2,2,2,2,2,2,R_3K3bcpvjXtCH32B,White European,Less likely to support,Female,21,6029,Bechelor degree,"$75,000-$99,999",Student,"Yes, I am an MT worker ",Democratic party,,"Sometimes, 10-20 times/year",Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,No thank you.,41.83650208,-72.46320343,32.212.226.192,7/11/15 18:07,7/11/15 18:12,Yes,Positive,Tolerated,No difference,None of the Above
90,1,2,2,2,2,2,2,2,2,R_3K4YYu69VKmc01n,White European,No effect on my attitude,Male,44,29420,Bechelor degree,"$75,000-$99,999",Employed for wages,"Yes, I am an MT worker ",Independent,,Never,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,Disagree,Disagree,"No, this is <strong>very unlike </strong>how I think about the ocean","No, this is <strong>very unlike </strong>how I think about the ocean","No, this is <strong>very unlike </strong>how I think about the ocean","No, this is <strong>very unlike </strong>how I think about the ocean",,32.93260193,-79.97979736,199.67.17.19,7/27/15 11:52,7/27/15 12:00,Yes,Negative,Tolerated,No difference,None of the Above
91,1,0,1,1,1,0,0,0,1,R_3kM8DIimavIwNhj,White European,Much more likely to support,Female,28,1915,Some college credit ,"$35,000-$49,999",Out of work,"Yes, I am an MT worker ",Independent,,"Frequently, 20+ times/year",Strongly Agree,Agree,Strongly Agree,Stongly Disagree,Stongly Disagree,Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,42.56530762,-70.85780334,24.2.242.106,7/26/15 18:34,7/26/15 18:43,Yes,Very positive,Encouraged,Much more likely,None of the Above
92,4,0,1,0,1,0,1,1,2,R_3krtH3eq05A5Mpf,White European,More likely to support,Male,65,6001,Bechelor degree,"$35,000-$49,999",Retired,"Yes, I am an MT worker ",Democratic party,,"Frequently, 20+ times/year",Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",No thanks,41.78999329,-72.87349701,73.47.240.223,7/11/15 6:23,7/11/15 6:34,Yes,Very positive,Not sure,Less likely    ,None of the Above
93,1,0,1,1,1,0,0,0,1,R_3LfDMnA3qEuedUx,White European,No effect on my attitude,Female,33,1027,Bechelor degree,"$75,000-$99,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Strongly Agree,Agree,Strongly Agree,Disagree,Stongly Disagree,Neither Agree nor Disagree,Agree,Stongly Disagree,Agree,Stongly Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Agree,Disagree,Agree,Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,42.17329407,-72.77149963,73.47.180.18,7/15/15 13:16,7/15/15 13:21,Yes,Very positive,Encouraged,No difference,None of the Above
94,3,0,0,1,1,0,0,0,1,R_3mAA8qe7emsvCbb,White European,Much more likely to support,Male,28,4330,Some college credit ,"$15,000-$24,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Stongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,44.40510559,-69.75669861,108.183.156.196,7/20/15 11:09,7/20/15 11:18,No,Very positive,Encouraged,More likely,None of the Above
95,1,0,0,2,1,0,2,0,1,R_3mGJtMvjXL4RzEx,White European,Much more likely to support,Male,20,2747,Some college credit ,"Less than $10,000",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Sometimes, 10-20 times/year",Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Stongly Disagree,Agree,Neither Agree nor Disagree,Stongly Disagree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Stongly Disagree,Agree,Disagree,Agree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat unlike</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>very much like</strong> how I think about the ocean",,41.63540649,-70.9434967,76.23.208.227,7/22/15 23:19,7/22/15 23:31,Yes,Very positive,Encouraged,No difference,0
96,3,0,0,1,1,0,0,0,1,R_3mkdqQYUUok7oEZ,White European,More likely to support,Male,60,1803,Graduate degree or Professional degree ,"$100,000-$124,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Every now and then, 5-10 times/year",Strongly Agree,Agree,Strongly Agree,Stongly Disagree,Stongly Disagree,Disagree,Agree,Stongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Disagree,Agree,Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",I enjoyed it very much.  Good luck!,42.53349304,-71.10359955,24.34.108.0,7/24/15 8:20,7/24/15 8:34,Yes,Very positive,Tolerated,No difference,None of the Above
97,1,0,1,1,1,0,2,0,1,R_3mxEEvGPnogvQKp,White European,No effect on my attitude,Female,22,3087,Bechelor degree,"Less than $10,000",Student,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Stongly Disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,42.76179504,-71.41190338,75.68.31.124,7/13/15 8:19,7/13/15 8:33,Yes,Very positive,Encouraged,No difference,None of the Above
98,1,0,1,2,1,0,2,0,1,R_3n6wJgesn7ivrbT,White European,No effect on my attitude,Male,27,1080,Some college credit ,"$15,000-$24,999",Student,"Yes, I am an MT worker ",Democratic party,,"Every now and then, 5-10 times/year",Strongly Agree,Disagree,Strongly Agree,Stongly Disagree,Stongly Disagree,Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Agree,Strongly Agree,Stongly Disagree,Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,42.0953064,-72.32450104,73.16.208.49,7/11/15 7:57,7/11/15 8:06,Yes,Very positive,Encouraged,No difference,None of the Above
99,4,0,2,0,2,2,0,1,1,R_3OavzhNiGtTJt89,White European,Much more likely to support,Female,21,4038,Bechelor degree,"$10,000-$14,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Strongly Agree,Agree,Agree,Stongly Disagree,Stongly Disagree,Disagree,Strongly Agree,Stongly Disagree,Agree,Stongly Disagree,Agree,Strongly Agree,Stongly Disagree,Agree,Stongly Disagree,Strongly Agree,Strongly Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,43.71499634,-70.34519958,199.120.152.150,7/27/15 11:44,7/27/15 11:52,Yes,Very positive,Tolerated,No difference,None of the Above
100,4,0,1,0,1,0,1,1,1,R_3pDAcn1zkHA76NT,Black or African American,More likely to support,Female,22,6385,Bechelor degree,"Less than $10,000",Out of work,"Yes, I am an MT worker ",None,,"Sometimes, 10-20 times/year",Agree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Agree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat unlike</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,,41.34519958,-72.1088028,32.212.84.214,7/13/15 14:06,7/13/15 14:26,Yes,Positive,Encouraged,No difference,0
101,4,0,1,0,1,0,1,1,1,R_3qvo4fVxSy5Fk0Z,White European,No effect on my attitude,Female,42,4330,Associate degree,"Less than $10,000",Retired,"Yes, I am an MT worker ",Independent,,"Rarely, 1-5 times/year",Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Agree,Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,44.40510559,-69.75669861,108.183.151.204,7/12/15 6:36,7/12/15 6:50,No,Positive,Encouraged,No difference,None of the Above
102,2,1,1,0,0,1,1,1,0,R_3r4vrsx373Jhgkl,Asian,Much more likely to support,Male,20,1001,Some college credit ,"$25,000-$34,999",Employed for wages,"Yes, I am an MT worker ",Independent,,Never,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,42.12510681,-72.74949646,207.159.171.250,7/23/15 11:05,7/23/15 11:16,No,Very positive,Encouraged,No difference,None of the Above
103,2,1,1,2,2,1,1,1,2,R_3RfTbBauwzdBfV3,White European,No effect on my attitude,Female,32,2127,Graduate degree or Professional degree ,"$100,000-$124,999",Out of work,"Yes, I am an MT worker ",Democratic party,,"Frequently, 20+ times/year",Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Stongly Disagree,Stongly Disagree,Stongly Disagree,Neither Agree nor Disagree,Stongly Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,"Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,"No, this is <strong>very unlike </strong>how I think about the ocean",This is <strong>somewhat unlike</strong> how I think about the ocean,"In some of the questions toward the end, you didn't give an option that is ""Other"" or ""I wish not to answer"" or an opt out - as a participant, I had to agree to one of the statements even though I didn't agree/disagree with any of them.",42.33459473,-71.03620148,76.119.196.199,7/21/15 16:16,7/21/15 16:27,Yes,Very positive,Encouraged,No difference,None of the Above
104,2,1,1,0,0,1,1,0,0,R_3siZnTX4069v11X,"Hispanic, Latino or Spanish",More likely to support,Female,29,2919,Bechelor degree,"$35,000-$49,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Stongly Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,Stongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,33.41479492,-111.9093018,209.147.144.21,7/17/15 10:27,7/17/15 10:38,Yes,Positive,-99,No difference,0
105,2,1,1,0,0,1,1,0,0,R_3sLyrCKhUEA5iPr,White European,More likely to support,Male,22,2882,Bechelor degree,"$35,000-$49,999",Employed for wages,"Yes, I am an MT worker ",Republican party,,"Sometimes, 10-20 times/year",Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Stongly Disagree,Agree,Disagree,Agree,Strongly Agree,Stongly Disagree,Agree,Disagree,Agree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,41.58770752,-71.46230316,173.69.52.94,7/12/15 12:50,7/12/15 12:58,Yes,Very positive,Encouraged,No difference,0
106,1,0,1,1,1,0,0,0,1,R_3t9tMyEF2YZanwV,White European,More likely to support,Male,27,95363,High school graduate,"Less than $10,000",Out of work,"Yes, I have done many HITs",Democratic party,,"Every now and then, 5-10 times/year",Strongly Agree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Stongly Disagree,Agree,Stongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,37.63920593,-120.9736023,50.173.201.227,7/27/15 15:21,7/27/15 15:41,Yes,Very positive,Encouraged,No difference,None of the Above
107,4,0,1,0,1,0,1,1,1,R_3UfFSPCQ8s6ZIMd,"Hispanic, Latino or Spanish",More likely to support,Female,22,6037,Some college credit ,"$50,000-$74,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Rarely, 1-5 times/year",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean", No but I enjoyed this survey very much!,41.65719604,-72.80349731,24.34.189.152,7/14/15 15:06,7/14/15 15:23,No,Very positive,Encouraged,No difference,None of the Above
108,4,2,2,2,2,2,2,2,2,R_3UiZ3C6VnxZkuDr,American Indian or Alaska Native ,Much less likely to support,Female,58,3275,Some college credit ,"$25,000-$34,999",Employed for wages,"Yes, I am an MT worker ",None,,"Every now and then, 5-10 times/year",Agree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Stongly Disagree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,Wind-generated electricity would be a great idea if it didn't kill birds.,43.23449707,-71.52269745,75.67.52.61,7/16/15 9:11,7/16/15 9:17,No,Negative,Prohibited,Less likely    ,0
109,4,2,2,2,2,2,2,1,1,R_3UTnT50f1jWpaF7,White European,No effect on my attitude,Female,32,6042,Graduate degree or Professional degree ,"$100,000-$124,999",Employed for wages,"Yes, I am an MT worker ",None,,"Rarely, 1-5 times/year",Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Neither Agree nor Disagree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"No, this is <strong>very unlike </strong>how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,,41.7769928,-72.52359772,32.210.242.27,7/11/15 20:03,7/11/15 20:15,No,Positive,Encouraged,No difference,None of the Above
110,1,0,1,0,2,0,1,2,1,R_3vEn2mZxaExQxCJ,White European,Less likely to support,Female,24,4103,Associate degree,"$25,000-$34,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Every now and then, 5-10 times/year",Agree,Agree,Strongly Agree,Disagree,Stongly Disagree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Stongly Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,44.22529602,-69.09230042,70.105.233.46,7/27/15 9:17,7/27/15 9:28,Yes,Positive,Encouraged,No difference,None of the Above
111,3,0,0,1,1,0,0,0,1,R_3vIN0Gt4GOykklL,White European,Much less likely to support,Male,27,6905,Bechelor degree,"$75,000-$99,999",Student,"Yes, I am an MT worker ",Independent,,"Every now and then, 5-10 times/year",Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Stongly Disagree,-99,Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,42.21670532,-83.74060059,68.37.223.200,7/10/15 15:05,7/10/15 15:17,Yes,Very positive,Encouraged,No difference,None of the Above
112,4,0,1,0,1,0,1,0,1,R_3ViniLdqtYkUM1n,White European,No effect on my attitude,Male,28,4981,Bechelor degree,"$10,000-$14,999",Employed for wages,"Yes, I am an MT worker ",Republican party,,"Rarely, 1-5 times/year",Strongly Agree,Disagree,Strongly Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,44.39599609,-69.42440033,66.243.208.209,7/12/15 6:54,7/12/15 7:06,No,Positive,Encouraged,No difference,None of the Above
113,4,0,1,1,1,0,1,1,1,R_3Vjsp8uIcWjkMlL,White European,More likely to support,Female,23,2446,Bechelor degree,"$25,000-$34,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Every now and then, 5-10 times/year",Strongly Agree,Neither Agree nor Disagree,Agree,Stongly Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Stongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,42.2736969,-71.08999634,50.153.149.12,7/13/15 20:38,7/13/15 20:47,Yes,Positive,Tolerated,No difference,0
114,2,1,1,0,1,1,1,1,0,R_3VLGT3hUBDetMtT,White European,More likely to support,Male,34,1862,Bechelor degree,"$10,000-$14,999",Out of work,"Yes, I am an MT worker ",Independent,,"Rarely, 1-5 times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Stongly Disagree,Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Disagree,Stongly Disagree,Neither Agree nor Disagree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat unlike</strong> how I think about the ocean,"No, this is <strong>very unlike </strong>how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,42.54930115,-71.25579834,96.233.113.114,7/13/15 19:09,7/13/15 19:21,Yes,Very positive,Encouraged,No difference,None of the Above
115,3,0,0,1,1,0,0,0,1,R_3VnUbFlpfJ3Cl5H,White European,More likely to support,Male,34,2920,Bechelor degree,"$75,000-$99,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Frequently, 20+ times/year",Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,41.76939392,-71.46759796,74.97.36.122,7/21/15 17:47,7/21/15 17:59,Yes,Very positive,Encouraged,No difference,None of the Above
116,1,0,1,1,1,0,2,0,1,R_3VOIs4RZ8lGlJjL,White European,Much more likely to support,Female,23,3079,Some college credit ,"$35,000-$49,999",Student,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Strongly Agree,Agree,Strongly Agree,Disagree,Stongly Disagree,Agree,Disagree,Stongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Agree,Stongly Disagree,Agree,Neither Agree nor Disagree,"Yes, this is <strong>very much like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,"Yes, this is <strong>very much like</strong> how I think about the ocean",N/A,42.89149475,-71.27870178,50.189.228.116,7/27/15 2:57,7/27/15 3:15,No,Very positive,Tolerated,No difference,None of the Above
117,4,0,1,0,1,0,0,1,1,R_3W76O9yPDdwJxDD,White European,More likely to support,Female,25,2155,Graduate degree or Professional degree ,"$25,000-$34,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Strongly Agree,Neither Agree nor Disagree,Agree,Stongly Disagree,Stongly Disagree,Disagree,Agree,Stongly Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",,42.20680237,-70.9552002,73.159.88.186,7/27/15 6:26,7/27/15 6:40,Yes,Very positive,Encouraged,No difference,None of the Above
118,1,0,1,1,1,0,0,0,1,R_40XchjhEy0nAmxL,Black or African American,More likely to support,Female,29,2189,Some college credit ,"$35,000-$49,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Strongly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Stongly Disagree,Neither Agree nor Disagree,Stongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,42.20680237,-70.9552002,73.38.213.231,7/14/15 10:07,7/14/15 10:26,Yes,Very positive,Encouraged,No difference,None of the Above
119,2,1,1,0,1,1,1,1,0,R_41tJIld8tHgYVH7,White European,More likely to support,Female,32,3071,Graduate degree or Professional degree ,"$35,000-$49,999",Student,"Yes, I am an MT worker ",Independent,,Never,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Stongly Disagree,Stongly Disagree,Agree,Stongly Disagree,Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Agree,Disagree,Strongly Agree,Disagree,"Yes, this is <strong>like</strong> how I think about the ocean","No, this is <strong>very unlike </strong>how I think about the ocean","No, this is <strong>very unlike </strong>how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,43.64450073,-72.90049744,71.181.105.252,7/17/15 12:49,7/17/15 13:03,Yes,Very positive,Encouraged,Less likely    ,None of the Above
